"CODI_CAPA","CAPA_GENERICA","NOM_CAPA","ED50_COORD_X","ED50_COORD_Y","ETRS89_COORD_X","ETRS89_COORD_Y","LONGITUD","LATITUD","EQUIPAMENT","DISTRICTE","BARRI","NOM_DISTRICTE","NOM_BARRI","ADRECA","TELEFON"
"F001","Mercats i centres comercials","Mercats municipals","432112.798","4583827.891","432020.851","4583626.941","2.186752","41.40131","Mercat Encants Vells Fira de Bellcaire","02","05","Eixample","el Fort Pienc","Av Meridiana, 69","934132328"
"F001","Mercats i centres comercials","Mercats municipals","431305.374","4584324.89","431213.435","4584123.936","2.177037","41.405718","Mercat de la Sagrada Família","02","06","Eixample","la Sagrada Família","C Padilla, 255","934132324"
"F001","Mercats i centres comercials","Mercats municipals","433683.471","4585739.187","433591.51","4585538.219","2.205331","41.418656","Mercat de Sant Martí","10","73","Sant Martí","la Verneda i la Pau","C Puigcerdà, 206*212","934132297"
"F001","Mercats i centres comercials","Mercats municipals","429352.936","4583679.674","429261.015","4583478.727","2.153756","41.399737","Mercat de la Llibertat","06","31","Gràcia","la Vila de Gràcia","Pl Llibertat, 27","933687946"
"F001","Mercats i centres comercials","Mercats municipals","427475.024","4583721.235","427383.12","4583520.288","2.131289","41.399944","Mercat de Les Tres Torres","05","24","Sarrià-Sant Gervasi","les Tres Torres","C Vergós, 2","934132327"
"F001","Mercats i centres comercials","Mercats municipals","431380.955","4582178.683","431289.015","4581977.749","2.178185","41.386394","Mercat de Santa Caterina","01","04","Ciutat Vella","Sant Pere, Santa Caterina i la Ribera","Av Francesc Cambó, 16","934132298"
"F001","Mercats i centres comercials","Mercats municipals","433772.118","4587665.514","433680.157","4587464.528","2.20618","41.436013","Mercat del Bon Pastor","09","59","Sant Andreu","el Bon Pastor","C Sant Adrià, 154*162","934132333"
"F001","Mercats i centres comercials","Mercats municipals","432278.191","4584526.502","432186.243","4584325.546","2.188652","41.407616","Mercat del Clot","10","65","Sant Martí","el Clot","Pl Mercat, 26","934132306"
"F001","Mercats i centres comercials","Mercats municipals","430620.63","4583207.001","430528.697","4583006.058","2.168974","41.395591","Mercat de La Concepció","02","07","Eixample","la Dreta de l'Eixample","C Aragó, 311*LB","934132314"
"F001","Mercats i centres comercials","Mercats municipals","429875.032","4586992.991","429783.107","4586792.013","2.159617","41.429625","Mercat d'Horta","07","43","Horta-Guinardó","Horta","C Tajo, 75","934204858"
"F001","Mercats i centres comercials","Mercats municipals","428092.79","4579322.201","428000.879","4579121.294","2.139201","41.36038","Mercat de La Marina","03","13","Sants-Montjuïc","la Marina de Port","Pg Zona Franca, 178*180","934132308"
"F001","Mercats i centres comercials","Mercats municipals","430882.514","4581700.894","430790.578","4581499.964","2.172279","41.382048","Mercat de Sant Josep - La Boqueria","01","01","Ciutat Vella","el Raval","C Rambla, 89*LB","934132303"
"F001","Mercats i centres comercials","Mercats municipals","431952.468","4589090.132","431860.524","4588889.134","2.184241","41.448692","Mercat de La Trinitat","08","53","Nou Barris","la Trinitat Nova","C Pedrosa, 21","934132343"
"F001","Mercats i centres comercials","Mercats municipals","433674.403","4583781.3","433582.442","4583580.35","2.205437","41.401021","Mercat del Poblenou","10","68","Sant Martí","el Poblenou","Pl Unió, 25","934132309"
"F001","Mercats i centres comercials","Mercats municipals","429395.548","4582360.142","429303.626","4582159.207","2.15442","41.387857","Mercat del Ninot","02","08","Eixample","l'Antiga Esquerra de l'Eixample","C Mallorca, 133*157","934132322"
